X;Result
-10,00000000;Error
-9,90000000;Error
-9,80000000;Error
-9,70000000;Error
-9,60000000;Error
-9,50000000;Error
-9,40000000;Error
-9,30000000;Error
-9,20000000;Error
-9,10000000;Error
-9,00000000;Error
-8,90000000;Error
-8,80000000;Error
-8,70000000;Error
-8,60000000;Error
-8,50000000;Error
-8,40000000;Error
-8,30000000;Error
-8,20000000;Error
-8,10000000;Error
-8,00000000;Error
-7,90000000;Error
-7,80000000;Error
-7,70000000;Error
-7,60000000;Error
-7,50000000;Error
-7,40000000;Error
-7,30000000;Error
-7,20000000;Error
-7,10000000;Error
-7,00000000;Error
-6,90000000;Error
-6,80000000;Error
-6,70000000;Error
-6,60000000;Error
-6,50000000;Error
-6,40000000;Error
-6,30000000;Error
-6,20000000;Error
-6,10000000;Error
-6,00000000;Error
-5,90000000;Error
-5,80000000;Error
-5,70000000;Error
-5,60000000;Error
-5,50000000;Error
-5,40000000;Error
-5,30000000;Error
-5,20000000;Error
-5,10000000;Error
-5,00000000;Error
-4,90000000;Error
-4,80000000;Error
-4,70000000;Error
-4,60000000;Error
-4,50000000;Error
-4,40000000;Error
-4,30000000;Error
-4,20000000;Error
-4,10000000;Error
-4,00000000;Error
-3,90000000;Error
-3,80000000;Error
-3,70000000;Error
-3,60000000;Error
-3,50000000;Error
-3,40000000;Error
-3,30000000;Error
-3,20000000;Error
-3,10000000;Error
-3,00000000;Error
-2,90000000;Error
-2,80000000;Error
-2,70000000;Error
-2,60000000;Error
-2,50000000;Error
-2,40000000;Error
-2,30000000;Error
-2,20000000;Error
-2,10000000;Error
-2,00000000;Error
-1,90000000;Error
-1,80000000;Error
-1,70000000;Error
-1,60000000;Error
-1,50000000;Error
-1,40000000;Error
-1,30000000;Error
-1,20000000;Error
-1,10000000;Error
-1,00000000;Error
-0,90000000;Error
-0,80000000;Error
-0,70000000;Error
-0,60000000;Error
-0,50000000;Error
-0,40000000;Error
-0,30000000;Error
-0,20000000;Error
-0,10000000;Error
-0,00000000;Error
0,10000000;-2,09590314
0,20000000;-1,46497302
0,30000000;-1,09590327
0,40000000;-0,83404353
0,50000000;-0,63092981
0,60000000;-0,46497282
0,70000000;-0,32465957
0,80000000;-0,20311401
0,90000000;-0,09590315
1,00000000;-0,00000000
1,10000000;0,08675500
1,20000000;0,16595626
1,30000000;0,23881413
1,40000000;0,30627028
1,50000000;0,36907023
1,60000000;0,42781545
1,70000000;0,48299870
1,80000000;0,53502642
1,90000000;0,58424026
2,00000000;0,63092981
2,10000000;0,67534041
2,20000000;0,71768452
2,30000000;0,75814661
2,40000000;0,79688594
2,50000000;0,83404353
2,60000000;0,86974344
2,70000000;0,90409670
2,80000000;0,93719980
2,90000000;0,96914104
3,00000000;1,00000000
3,10000000;1,02984645
3,20000000;1,05874515
3,30000000;1,08675509
3,40000000;1,11392831
3,50000000;1,14031374
3,60000000;1,16595574
3,70000000;1,19089580
3,80000000;1,21517015
3,90000000;1,23881386
4,00000000;1,26185949
4,10000000;1,28433556
4,20000000;1,30626994
4,30000000;1,32768811
4,40000000;1,34861449
4,50000000;1,36907003
4,60000000;1,38907591
4,70000000;1,40865206
4,80000000;1,42781558
4,90000000;1,44658392
5,00000000;1,46497302
5,10000000;1,48299854
5,20000000;1,50067352
5,30000000;1,51801177
5,40000000;1,53502642
5,50000000;1,55172841
5,60000000;1,56812942
5,70000000;1,58424010
5,80000000;1,60007111
5,90000000;1,61563101
6,00000000;1,63092936
6,10000000;1,64597530
6,20000000;1,66077615
6,30000000;1,67534016
6,40000000;1,68967521
6,50000000;1,70378763
6,60000000;1,71768457
6,70000000;1,73137251
6,80000000;1,74485807
6,90000000;1,75814637
7,00000000;1,77124344
7,10000000;1,78415511
7,20000000;1,79688585
7,30000000;1,80944097
7,40000000;1,82182524
7,50000000;1,83404367
7,60000000;1,84609990
7,70000000;1,85799852
7,80000000;1,86974394
7,90000000;1,88133942
8,00000000;1,89278902
8,10000000;1,90409637
8,20000000;1,91526535
8,30000000;1,92629860
8,40000000;1,93719969
8,50000000;1,94797211
8,60000000;1,95861822
8,70000000;1,96914124
8,80000000;1,97954399
8,90000000;1,98982952
9,00000000;1,99999982
9,10000000;2,01005771
9,20000000;2,02000600
9,30000000;2,02984644
9,40000000;2,03958163
9,50000000;2,04921378
9,60000000;2,05874539
9,70000000;2,06817793
9,80000000;2,07751371
9,90000000;2,08675500
10,00000000;2,09590314
