X;Result
-9,75500000;3,08401223
-9,75400000;3,09303734
-9,75300000;3,10211855
-9,75200000;3,11125635
-9,75100000;3,12045128
-9,75000000;3,12970386
-9,74900000;3,13901462
-9,74800000;3,14838410
-9,74700000;3,15781285
-9,74600000;3,16730142
-9,74500000;3,17685037
-9,74400000;3,18646027
-9,74300000;3,19613169
-9,74200000;3,20586522
-9,74100000;3,21566143
-9,74000000;3,22552094
-9,73900000;3,23544433
-9,73800000;3,24543223
-9,73700000;3,25548525
-9,73600000;3,26560402
-9,73500000;3,27578917
-9,73400000;3,28604136
-9,73300000;3,29636122
-9,73200000;3,30674943
-9,73100000;3,31720664
-9,73000000;3,32773354
-9,72900000;3,33833082
-9,72800000;3,34899916
-9,72700000;3,35973929
-9,72600000;3,37055190
-9,72500000;3,38143772
-9,72400000;3,39239749
-9,72300000;3,40343195
-9,72200000;3,41454186
-9,72100000;3,42572797
-9,72000000;3,43699106
-9,71900000;3,44833192
-9,71800000;3,45975134
-9,71700000;3,47125013
-9,71600000;3,48282910
-9,71500000;3,49448908
-9,71400000;3,50623091
-9,71300000;3,51805545
-9,71200000;3,52996356
-9,71100000;3,54195610
-9,71000000;3,55403398
-9,70900000;3,56619809
-9,70800000;3,57844934
-9,70700000;3,59078865
-9,70600000;3,60321698
-9,70500000;3,61573527
-9,70400000;3,62834448
-9,70300000;3,64104560
-9,70200000;3,65383962
-9,70100000;3,66672755
-9,70000000;3,67971041
-9,69900000;3,69278924
-9,69800000;3,70596509
-9,69700000;3,71923904
-9,69600000;3,73261216
-9,69500000;3,74608556
-9,69400000;3,75966035
-9,69300000;3,77333767
-9,69200000;3,78711867
-9,69100000;3,80100451
-9,69000000;3,81499639
-9,68900000;3,82909550
-9,68800000;3,84330307
-9,68700000;3,85762033
-9,68600000;3,87204855
-9,68500000;3,88658901
-9,68400000;3,90124300
-9,68300000;3,91601184
-9,68200000;3,93089687
-9,68100000;3,94589945
-9,68000000;3,96102097
-9,67900000;3,97626282
-9,67800000;3,99162643
-9,67700000;4,00711325
-9,67600000;4,02272474
-9,67500000;4,03846241
-9,67400000;4,05432778
-9,67300000;4,07032237
-9,67200000;4,08644777
-9,67100000;4,10270556
-9,67000000;4,11909737
-9,66900000;4,13562484
-9,66800000;4,15228964
-9,66700000;4,16909347
-9,66600000;4,18603807
-9,66500000;4,20312519
-9,66400000;4,22035661
-9,66300000;4,23773415
-9,66200000;4,25525967
-9,66100000;4,27293503
-9,66000000;4,29076216
-9,65900000;4,30874299
-9,65800000;4,32687949
-9,65700000;4,34517369
-9,65600000;4,36362763
-9,65500000;4,38224338
-9,65400000;4,40102307
-9,65300000;4,41996884
-9,65200000;4,43908290
-9,65100000;4,45836747
-9,65000000;4,47782482
-9,64900000;4,49745727
-9,64800000;4,51726716
-9,64700000;4,53725690
-9,64600000;4,55742891
-9,64500000;4,57778569
-9,64400000;4,59832976
-9,64300000;4,61906370
-9,64200000;4,63999012
-9,64100000;4,66111171
-9,64000000;4,68243116
-9,63900000;4,70395127
-9,63800000;4,72567485
-9,63700000;4,74760477
-9,63600000;4,76974397
-9,63500000;4,79209543
-9,63400000;4,81466220
-9,63300000;4,83744738
-9,63200000;4,86045412
-9,63100000;4,88368566
-9,63000000;4,90714527
-9,62900000;4,93083631
-9,62800000;4,95476219
-9,62700000;4,97892640
-9,62600000;5,00333249
-9,62500000;5,02798408
-9,62400000;5,05288487
-9,62300000;5,07803863
-9,62200000;5,10344921
-9,62100000;5,12912053
-9,62000000;5,15505660
-9,61900000;5,18126151
-9,61800000;5,20773944
-9,61700000;5,23449463
-9,61600000;5,26153145
-9,61500000;5,28885434
-9,61400000;5,31646782
-9,61300000;5,34437653
-9,61200000;5,37258520
-9,61100000;5,40109866
-9,61000000;5,42992185
-9,60900000;5,45905982
-9,60800000;5,48851770
-9,60700000;5,51830078
-9,60600000;5,54841443
-9,60500000;5,57886416
-9,60400000;5,60965559
-9,60300000;5,64079448
-9,60200000;5,67228669
-9,60100000;5,70413826
-9,60000000;5,73635532
-9,59900000;5,76894419
-9,59800000;5,80191128
-9,59700000;5,83526319
-9,59600000;5,86900667
-9,59500000;5,90314861
-9,59400000;5,93769607
-9,59300000;5,97265630
-9,59200000;6,00803668
-9,59100000;6,04384482
-9,59000000;6,08008846
-9,58900000;6,11677557
-9,58800000;6,15391430
-9,58700000;6,19151299
-9,58600000;6,22958022
-9,58500000;6,26812474
-9,58400000;6,30715556
-9,58300000;6,34668188
-9,58200000;6,38671318
-9,58100000;6,42725913
-9,58000000;6,46832970
-9,57900000;6,50993508
-9,57800000;6,55208575
-9,57700000;6,59479245
-9,57600000;6,63806620
-9,57500000;6,68191835
-9,57400000;6,72636051
-9,57300000;6,77140462
-9,57200000;6,81706295
-9,57100000;6,86334810
-9,57000000;6,91027303
-9,56900000;6,95785103
-9,56800000;7,00609578
