X;Result
-9,80600000;-3439014108841,11670000
-9,80500000;-3797031718692,62550000
-9,80400000;-4193119115711,22100000
-9,80300000;-4631411400328,55700000
-9,80200000;-5116502492674,56100000
-9,80100000;-5653497139747,77800000
-9,80000000;-6248068944796,70300000
-9,79900000;-6906525131321,12200000
-9,79800000;-7635878840159,98000000
-9,79700000;-8443929854879,69900000
-9,79600000;-9339354759318,00200000
-9,79500000;-10331807653341,90000000
-9,79400000;-11432032690221,50000000
-9,79300000;-12651989853416,41000000
-9,79200000;-14004995564464,44700000
-9,79100000;-15505879909024,07400000
-9,79000000;-17171162488311,28300000
-9,78900000;-19019249150807,53000000
-9,78800000;-21070652138218,46000000
-9,78700000;-23348236493768,99000000
-9,78600000;-25877495935230,80500000
-9,78500000;-28686861793884,01000000
-9,78400000;-31808049070862,23000000
-9,78300000;-35276444169259,77000000
-9,78200000;-39131539433239,43000000
-9,78100000;-43417420270477,72000000
-9,78000000;-48183311363562,14000000
-9,77900000;-53484189298604,71000000
-9,77800000;-59381469868378,09000000
-9,77700000;-65943779357040,94500000
-9,77600000;-73247820299396,66000000
-9,77500000;-81379343548271,72000000
-9,77400000;-90434239998857,89000000
-9,77300000;-100519767033353,10000000
-9,77200000;-111755926688011,42000000
-9,77100000;-124277014738778,81000000
-9,77000000;-138233362386403,42000000
-9,76900000;-153793295033134,97000000
-9,76800000;-171145335829996,60000000
-9,76700000;-190500685282633,06000000
-9,76600000;-212096012293159,72000000
-9,76500000;-236196596655851,90000000
-9,76400000;-263099868280228,06000000
-9,76300000;-293139394386017,10000000
-9,76200000;-326689372680680,20000000
-9,76100000;-364169696219354,40000000
-9,76000000;-406051664373290,56000000
-9,75900000;-452864424245586,40000000
-9,75800000;-505202238138265,80000000
-9,75700000;-563732685477888,60000000
-9,75600000;-629205922163058,50000000
-9,75500000;-702465136856251,40000000
-9,75400000;-784458362580890,80000000
-9,75300000;-876251823423878,60000000
-9,75200000;-979045020557282,10000000
-9,75100000;-1094187789595935,40000000
-9,75000000;-1223199592984539,20000000
-9,74900000;-1367791347207312,50000000
-9,74800000;-1529890125777956,80000000
-9,74700000;-1711667125913944,50000000
-9,74600000;-1915569340346354,50000000
-9,74500000;-2144355436866601,50000000
-9,74400000;-2401136417978063,00000000
-9,74300000;-2689421712757656,50000000
-9,74200000;-3013171444087643,00000000
-9,74100000;-3376855718532811,50000000
-9,74000000;-3785521905151441,00000000
-9,73900000;-4244871005657229,00000000
-9,73800000;-4761344374167944,00000000
-9,73700000;-5342222223045196,00000000
-9,73600000;-5995735555535082,00000000
-9,73500000;-6731193399834872,00000000
-9,73400000;-7559127487246068,00000000
-9,73300000;-8491456824360770,00000000
-9,73200000;-9541674961688206,00000000
-9,73100000;-10725063165399734,00000000
-9,73000000;-12058933163046250,00000000
-9,72900000;-13562903666891996,00000000
-9,72800000;-15259215490602050,00000000
-9,72700000;-17173090778478994,00000000
-9,72600000;-19333142674922108,00000000
-9,72500000;-21771842691795004,00000000
-9,72400000;-24526054101288664,00000000
-9,72300000;-27637640913344248,00000000
-9,72200000;-31154163414839364,00000000
-9,72100000;-35129672881196304,00000000
-9,72000000;-39625619953671312,00000000
-9,71900000;-44711893346368264,00000000
-9,71800000;-50468008050211472,00000000
-9,71700000;-56984465090554360,00000000
-9,71600000;-64364308229958320,00000000
-9,71500000;-72724906859585360,00000000
-9,71400000;-82199998773829184,00000000
-9,71300000;-92942031666773376,00000000
-9,71200000;-105124848140111920,00000000
-9,71100000;-118946765895033696,00000000
-9,71000000;-134634112749959184,00000000
-9,70900000;-152445285353287552,00000000
-9,70800000;-172675411151816416,00000000
-9,70700000;-195661705567795328,00000000
-9,70600000;-221789630708705248,00000000
-9,70500000;-251499978606779584,00000000
-9,70400000;-285297021339555584,00000000
-9,70300000;-323757892857759420,00000000
-9,70200000;-367543393460535550,00000000
-9,70100000;-417410438213262780,00000000
-9,70000000;-474226405905946430,00000000
-9,69900000;-538985686227591100,00000000
-9,69800000;-612828770652673540,00000000
-9,69700000;-697064288230594430,00000000
-9,69600000;-793194452376566660,00000000
-9,69500000;-902944460432302980,00000000
-9,69400000;-1028296476034776190,00000000
-9,69300000;-1171528927356650750,00000000
-9,69200000;-1335261974574323710,00000000
-9,69100000;-1522510140467838210,00000000
-9,69000000;-1736743262340541700,00000000
-9,68900000;-1981957115592750340,00000000
-9,68800000;-2262755284114884610,00000000
-9,68700000;-2584444115904756200,00000000
-9,68600000;-2953142910699873300,00000000
-9,68500000;-3375911847822440400,00000000
-9,68400000;-3860900586325226000,00000000
-9,68300000;-4417520966863868900,00000000
-9,68200000;-5056647828630441000,00000000
-9,68100000;-5790852640610465800,00000000
-9,68000000;-6634675452639701000,00000000
-9,67900000;-7604941619842715600,00000000
-9,67800000;-8721130869781868500,00000000
-9,67700000;-10005807595235265000,00000000
-9,67600000;-11485122803159304000,00000000
-9,67500000;-13189399974671206000,00000000
-9,67400000;-15153819242760227000,00000000
-9,67300000;-17419216833905314000,00000000
-9,67200000;-20033019719076827000,00000000
-9,67100000;-23050338963327156000,00000000
-9,67000000;-26535249453656930000,00000000
-9,66900000;-30562288642508644000,00000000
-9,66800000;-35218212813397110000,00000000
-9,66700000;-40604056328378540000,00000000
-9,66600000;-46837547558480850000,00000000
-9,66500000;-54055944974700460000,00000000
-9,66400000;-62419368480184290000,00000000
-9,66300000;-72114714845456350000,00000000
-9,66200000;-83360262487507000000,00000000
-9,66100000;-96411090312091270000,00000000
-9,66000000;-111565458519953160000,00000000
-9,65900000;-129172326883513370000,00000000
-9,65800000;-149640218899114600000,00000000
-9,65700000;-173447679451212320000,00000000
-9,65600000;-201155620441526500000,00000000
-9,65500000;-233421904746693000000,00000000
-9,65400000;-271018585677164970000,00000000
-9,65300000;-314852299015611740000,00000000
-9,65200000;-365988400329922250000,00000000
-9,65100000;-425679554779814900000,00000000
-9,65000000;-495399623883883500000,00000000
-9,64900000;-576883858336276000000,00000000
-9,64800000;-672176603552952100000,00000000
-9,64700000;-783687961972461300000,00000000
-9,64600000;-914261141459163500000,00000000
-9,64500000;-1067252562398237400000,00000000
-9,64400000;-1246627209339533000000,00000000
-9,64300000;-1457072210993733000000,00000000
-9,64200000;-1704132232832372000000,00000000
-9,64100000;-1994370991208205600000,00000000
-9,64000000;-2335564073127041600000,00000000
-9,63900000;-2736929303785496400000,00000000
-9,63800000;-3209402183889997300000,00000000
-9,63700000;-3765965468444453000000,00000000
-9,63600000;-4422043836602360300000,00000000
-9,63500000;-5195976879690289000000,00000000
-9,63400000;-6109586399111618000000,00000000
-9,63300000;-7188857364490717000000,00000000
-9,63200000;-8464755966410680000000,00000000
-9,63100000;-9974213168340990000000,00000000
-9,63000000;-11761308216630771000000,00000000
-9,62900000;-13878693948701618000000,00000000
-9,62800000;-16389314746811157000000,00000000
-9,62700000;-19368478986294415000000,00000000
-9,62600000;-22906361276798582000000,00000000
-9,62500000;-27111026252823638000000,00000000
-9,62400000;-32112085827861850000000,00000000
-9,62300000;-38065126539434870000000,00000000
-9,62200000;-45157073939419550000000,00000000
-9,62100000;-53612698235970135000000,00000000
-9,62000000;-63702511196631620000000,00000000
-9,61900000;-75752360695441850000000,00000000
-9,61800000;-90155098738593480000000,00000000
-9,61700000;-107384784453832030000000,00000000
-9,61600000;-128013989265147220000000,00000000
-9,61500000;-152734902140538320000000,00000000
-9,61400000;-182385094442969270000000,00000000
-9,61300000;-217979004088521020000000,00000000
-9,61200000;-260746446865811860000000,00000000
-9,61100000;-312179770735348950000000,00000000
-9,61000000;-374091651528345400000000,00000000
-9,60900000;-448686004322669300000000,00000000
-9,60800000;-538645077277017200000000,00000000
-9,60700000;-647236533265359500000000,00000000
-9,60600000;-778445246336742200000000,00000000
-9,60500000;-937135691550150300000000,00000000
-9,60400000;-1129252247079679800000000,00000000
-9,60300000;-1362066531224182800000000,00000000
-9,60200000;-1644483158449257600000000,00000000
-9,60100000;-1987418137394284400000000,00000000
-9,60000000;-2404267701637868700000000,00000000
-9,59900000;-2911489853634321000000000,00000000
-9,59800000;-3529326558808955500000000,00000000
-9,59700000;-4282701662562178000000000,00000000
-9,59600000;-5202338616214205000000000,00000000
-9,59500000;-6326153497287592000000000,00000000
-9,59400000;-7700993245479463000000000,00000000
-9,59300000;-9384807341126732000000000,00000000
